1554330118;        1271;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165850;201.241.211.18 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
1554330118;        1271;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165850;201.241.211.18 ;OK ;597026007976        ;Datos listos para ser enviados                                          
1554330118;        1271;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165850;201.241.211.18 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
1554330118;        1271;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165850;201.241.211.18 ;OK ;597026007976        ;Redireccion web                                                         
1554330118;        1271;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165850;201.241.211.18 ;OK ;597026007976        ;Todo OK                                                                 
          ;        3115;   ;resultado ;Desencriptando                          ;13052015      ;165916;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        3115;   ;resultado ;Validacion                              ;13052015      ;165916;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        3115;   ;resultado ;351                                     ;13052015      ;165916;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;        3115;   ;resultado ;351                                     ;13052015      ;165916;200.10.12.55   ;OK ;                    ;http://cccchile.cl/modules/webpayment/cierre_compra.php                 
1554330118;        3115;   ;transacc  ;1554330118                              ;13052015      ;165916;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
1554330118;        3115;   ;resultado ;logro abrir_conexion                    ;13052015      ;165916;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
1554330118;        3115;   ;transacc  ;1554330118                              ;13052015      ;165916;200.10.12.55   ;OK ;597026007976        ;POST a url http://cccchile.cl/modules/webpayment/cierre_compra.php      
1554330118;        3115;   ;transacc  ;1554330118                              ;13052015      ;165916;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;        3115;   ;resultado ;351                                     ;13052015      ;165916;200.10.12.55   ;OK ;                    ;tienda NO acepto transaccion                                            
          ;        3115;   ;resultado ;351                                     ;13052015      ;165916;200.10.12.55   ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
1554330118;        3115;   ;resultado ;datoscom                                ;13052015      ;165916;200.10.12.55   ;Ok ;597026007976        ;Error al obtener ack (46)                                               
          ;        3115;   ;resultado ;351                                     ;13052015      ;165916;200.10.12.55   ;ERR;                    ;46                                                                      
          ;       24929;   ;Filtro    ;Inicio                                  ;13052015      ;170450;201.241.211.18 ;OK ;                    ;Inicio de filtrado                                                      
          ;       24929;   ;Filtro    ;tbk_param.txt                           ;13052015      ;170450;201.241.211.18 ;OK ;                    ;Archivo parseado                                                        
          ;       24929;   ;Filtro    ;Terminado                               ;13052015      ;170450;201.241.211.18 ;OK ;                    ;Datos Filtrados con exito                                               
          ;       24929;   ;sanitiza  ;inicio                                  ;13052015      ;170450;201.241.211.18 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       24929;   ;sanitiza  ;Array                                   ;13052015      ;170450;201.241.211.18 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       24929;   ;sanitiza  ;Fin                                     ;13052015      ;170450;201.241.211.18 ;Ok ;                    ;Sanitizacion exitosa                                                    
1554690965;       24929;   ;pago      ;inicio                                  ;13052015      ;170450;201.241.211.18 ;OK ;597026007976        ;Parseo realizado                                                        
1554690965;       24929;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170450;201.241.211.18 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
1554690965;       24929;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170450;201.241.211.18 ;OK ;597026007976        ;Mac generado                                                            
1554690965;       24929;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170450;201.241.211.18 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
1554690965;       24929;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;170450;201.241.211.18 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
